sona_id,block,stimulus,key_press,reward,set_size,trial_in_block
10000,3,1,1,1.0,2,1
10000,3,1,1,1.0,2,2
10000,3,1,0,0.0,2,3
10000,3,0,0,0.0,2,4
10000,3,0,0,0.0,2,5
10000,3,0,1,1.0,2,6
10000,3,1,2,0.0,2,7
10000,3,1,1,1.0,2,8
10000,3,0,1,1.0,2,9
10000,3,0,1,1.0,2,10
10000,3,1,1,1.0,2,11
10000,3,0,1,1.0,2,12
10000,3,1,1,1.0,2,13
10000,3,1,1,0.0,2,14
10000,3,0,1,1.0,2,15
10000,3,0,2,0.0,2,16
10000,3,0,1,1.0,2,17
10000,3,0,1,1.0,2,18
10000,3,1,2,0.0,2,19
10000,3,1,1,1.0,2,20
10000,3,0,1,0.0,2,21
10000,3,0,0,0.0,2,22
10000,3,0,2,0.0,2,23
10000,3,0,0,1.0,2,24
10000,3,0,0,1.0,2,25
10000,3,0,0,1.0,2,26
10000,3,1,1,1.0,2,27
10000,3,1,1,1.0,2,28
10000,3,1,1,0.0,2,29
10000,3,0,0,1.0,2,30
10000,3,1,0,0.0,2,31
10000,3,0,0,0.0,2,32
10000,3,0,1,1.0,2,33
10000,3,1,1,1.0,2,34
10000,3,0,1,1.0,2,35
10000,3,0,1,1.0,2,36
10000,3,0,1,0.0,2,37
10000,3,0,0,0.0,2,38
10000,3,1,1,1.0,2,39
10000,3,1,1,1.0,2,40
10000,4,1,2,0.0,3,1
10000,4,2,0,1.0,3,2
10000,4,1,1,0.0,3,3
10000,4,1,2,0.0,3,4
10000,4,1,0,1.0,3,5
10000,4,2,0,1.0,3,6
10000,4,2,2,0.0,3,7
10000,4,0,2,1.0,3,8
10000,4,0,2,1.0,3,9
10000,4,0,2,0.0,3,10
10000,4,1,0,1.0,3,11
10000,4,0,0,0.0,3,12
10000,4,1,0,1.0,3,13
10000,4,1,0,0.0,3,14
10000,4,0,0,1.0,3,15
10000,4,2,1,1.0,3,16
10000,4,1,1,1.0,3,17
10000,4,2,1,1.0,3,18
10000,4,1,1,0.0,3,19
10000,4,1,2,1.0,3,20
10000,4,2,1,1.0,3,21
10000,4,1,2,0.0,3,22
10000,4,0,2,0.0,3,23
10000,4,0,0,0.0,3,24
10000,4,1,0,1.0,3,25
10000,4,0,1,1.0,3,26
10000,4,1,0,1.0,3,27
10000,4,1,0,1.0,3,28
10000,4,1,0,0.0,3,29
10000,4,2,2,1.0,3,30
10000,4,0,1,1.0,3,31
10000,4,2,2,1.0,3,32
10000,4,2,2,1.0,3,33
10000,4,0,2,1.0,3,34
10000,4,1,1,0.0,3,35
10000,5,0,1,1.0,5,1
10000,5,2,2,0.0,5,2
10000,5,1,1,0.0,5,3
10000,5,4,0,1.0,5,4
10000,5,3,0,1.0,5,5
10000,5,0,1,0.0,5,6
10000,5,4,0,0.0,5,7
10000,5,0,0,1.0,5,8
10000,5,4,2,0.0,5,9
10000,5,0,0,0.0,5,10
10000,5,1,2,0.0,5,11
10000,5,2,2,0.0,5,12
10000,5,4,1,0.0,5,13
10000,5,3,2,1.0,5,14
10000,5,3,2,1.0,5,15
10000,5,4,1,0.0,5,16
10000,5,3,1,0.0,5,17
10000,5,2,2,0.0,5,18
10000,5,1,0,1.0,5,19
10000,5,4,1,1.0,5,20
10000,5,2,1,0.0,5,21
10000,5,0,0,1.0,5,22
10000,5,1,1,0.0,5,23
10000,5,3,0,0.0,5,24
10000,5,4,1,1.0,5,25
10000,5,3,0,0.0,5,26
10000,5,2,2,0.0,5,27
10000,5,3,1,1.0,5,28
10000,5,2,1,0.0,5,29
10000,5,4,2,0.0,5,30
10000,5,2,1,0.0,5,31
10000,5,4,1,1.0,5,32
10000,5,3,0,1.0,5,33
10000,5,4,0,0.0,5,34
10000,5,3,0,1.0,5,35
10000,5,3,2,1.0,5,36
10000,5,4,1,0.0,5,37
10000,5,4,0,0.0,5,38
10000,5,0,1,0.0,5,39
10000,5,0,0,1.0,5,40
10000,5,3,2,1.0,5,41
10000,5,0,0,1.0,5,42
10000,5,0,0,1.0,5,43
10000,5,2,1,1.0,5,44
10000,5,1,2,0.0,5,45
10000,5,0,0,1.0,5,46
10000,5,4,2,0.0,5,47
10000,5,2,2,0.0,5,48
10000,5,2,1,0.0,5,49
10000,5,0,0,1.0,5,50
10000,5,1,0,1.0,5,51
10000,5,1,0,1.0,5,52
10000,5,0,1,1.0,5,53
10000,5,0,1,0.0,5,54
10000,5,2,0,1.0,5,55
10000,5,3,0,1.0,5,56
10000,5,4,1,1.0,5,57
10000,6,4,0,1.0,6,1
10000,6,1,2,1.0,6,2
10000,6,0,1,1.0,6,3
10000,6,3,0,1.0,6,4
10000,6,4,0,1.0,6,5
10000,6,2,0,1.0,6,6
10000,6,5,1,1.0,6,7
10000,6,4,1,0.0,6,8
10000,6,2,0,1.0,6,9
